State1_files,num_s1,State2_files,num_s2,State3_files,num_s3
"['1 (12).jpg', '1 (10).jpg', '1 (19).jpg', '1 (5).jpg', '1 (14).jpg', '1 (16).jpg', '1 (6).jpg', '1 (1).jpg', '1 (13).jpg', '1 (17).jpg', '1 (7).jpg', '1 (20).jpg', '1 (11).jpg', '1 (18).jpg', '1 (9).jpg', '1 (4).jpg', '1 (3).jpg', '1 (15).jpg', '1 (2).jpg', '1 (8).jpg']",20,"['1 (14)', '1 (19)', '1 (1)', '1 (3)', '1 (5)', '1 (18)', '1 (17)', '1 (10)', '1 (2)', '1 (15)', '1 (16)', '1 (20)', '1 (13)', '1 (12)', '1 (4)', '1 (7)', '1 (9)', '1 (11)', '1 (8)', '1 (6)']",20,"['1 (2).jpg', '1 (15).jpg', '1 (1).jpg', '1 (12).jpg', '1 (13).jpg', '1 (8).jpg', '1 (17).jpg', '1 (19).jpg', '1 (14).jpg', '1 (5).jpg', '1 (18).jpg', '1 (4).jpg', '1 (7).jpg', '1 (16).jpg', '1 (3).jpg', '1 (6).jpg', '1 (10).jpg', '1 (11).jpg', '1 (9).jpg', '1 (20).jpg']",20
"['1 (12).jpg', '1 (10).jpg', '1 (19).jpg', '1 (5).jpg', '1 (14).jpg', '1 (16).jpg', '1 (6).jpg', '1 (1).jpg', '1 (13).jpg', '1 (17).jpg', '1 (7).jpg', '1 (20).jpg', '1 (11).jpg', '1 (18).jpg', '1 (9).jpg', '1 (4).jpg', '1 (3).jpg', '1 (15).jpg', '1 (2).jpg', '1 (8).jpg']",20,"['1 (14)', '1 (19)', '1 (1)', '1 (3)', '1 (5)', '1 (18)', '1 (17)', '1 (10)', '1 (2)', '1 (15)', '1 (16)', '1 (20)', '1 (13)', '1 (12)', '1 (4)', '1 (7)', '1 (9)', '1 (11)', '1 (8)', '1 (6)']",20,"['1 (2).jpg', '1 (15).jpg', '1 (1).jpg', '1 (12).jpg', '1 (13).jpg', '1 (8).jpg', '1 (17).jpg', '1 (19).jpg', '1 (14).jpg', '1 (5).jpg', '1 (18).jpg', '1 (4).jpg', '1 (7).jpg', '1 (16).jpg', '1 (3).jpg', '1 (6).jpg', '1 (10).jpg', '1 (11).jpg', '1 (9).jpg', '1 (20).jpg']",20
